"ï»¿""Plot Title: OM_WL3""",,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","Temp, Â°C (LGR S/N: 20389410, SEN S/N: 20389410)",Coupler Detached (LGR S/N: 20389410),Coupler Attached (LGR S/N: 20389410),Host Connected (LGR S/N: 20389410),Stopped (LGR S/N: 20389410),End Of File (LGR S/N: 20389410)
125,9/1/18 0:20,96.399,23.869,,,,,
126,9/1/18 0:25,96.417,23.869,,,,,
127,9/1/18 0:30,96.414,23.773,,,,,
128,9/1/18 0:35,96.432,23.773,,,,,
129,9/1/18 0:40,96.432,23.773,,,,,
130,9/1/18 0:45,96.414,23.773,,,,,
131,9/1/18 0:50,96.414,23.773,,,,,
132,9/1/18 0:55,96.411,23.677,,,,,
133,9/1/18 1:00,96.411,23.677,,,,,
134,9/1/18 1:05,96.394,23.677,,,,,
135,9/1/18 1:10,96.394,23.677,,,,,
136,9/1/18 1:15,96.391,23.581,,,,,
137,9/1/18 1:20,96.391,23.581,,,,,
138,9/1/18 1:25,96.409,23.581,,,,,
139,9/1/18 1:30,96.388,23.484,,,,,
140,9/1/18 1:35,96.371,23.484,,,,,
141,9/1/18 1:40,96.388,23.484,,,,,
142,9/1/18 1:45,96.388,23.484,,,,,
143,9/1/18 1:50,96.388,23.484,,,,,
144,9/1/18 1:55,96.368,23.388,,,,,
145,9/1/18 2:00,96.386,23.388,,,,,
146,9/1/18 2:05,96.386,23.388,,,,,
147,9/1/18 2:10,96.386,23.388,,,,,
148,9/1/18 2:15,96.386,23.388,,,,,
149,9/1/18 2:20,96.383,23.292,,,,,
150,9/1/18 2:25,96.401,23.292,,,,,
151,9/1/18 2:30,96.401,23.292,,,,,
152,9/1/18 2:35,96.383,23.292,,,,,
153,9/1/18 2:40,96.401,23.292,,,,,
154,9/1/18 2:45,96.418,23.292,,,,,
155,9/1/18 2:50,96.398,23.196,,,,,
156,9/1/18 2:55,96.416,23.196,,,,,
157,9/1/18 3:00,96.416,23.196,,,,,
158,9/1/18 3:05,96.416,23.196,,,,,
159,9/1/18 3:10,96.398,23.196,,,,,
160,9/1/18 3:15,96.416,23.196,,,,,
161,9/1/18 3:20,96.433,23.196,,,,,
162,9/1/18 3:25,96.416,23.196,,,,,
163,9/1/18 3:30,96.433,23.196,,,,,
164,9/1/18 3:35,96.431,23.1,,,,,
165,9/1/18 3:40,96.431,23.1,,,,,
166,9/1/18 3:45,96.448,23.1,,,,,
167,9/1/18 3:50,96.448,23.1,,,,,
168,9/1/18 3:55,96.431,23.1,,,,,
169,9/1/18 4:00,96.448,23.1,,,,,
170,9/1/18 4:05,96.448,23.1,,,,,
171,9/1/18 4:10,96.448,23.1,,,,,
172,9/1/18 4:15,96.448,23.1,,,,,
173,9/1/18 4:20,96.448,23.1,,,,,
174,9/1/18 4:25,96.448,23.1,,,,,
175,9/1/18 4:30,96.431,23.1,,,,,
176,9/1/18 4:35,96.466,23.1,,,,,
177,9/1/18 4:40,96.466,23.1,,,,,
178,9/1/18 4:45,96.463,23.004,,,,,
179,9/1/18 4:50,96.463,23.004,,,,,
180,9/1/18 4:55,96.463,23.004,,,,,
181,9/1/18 5:00,96.463,23.004,,,,,
182,9/1/18 5:05,96.481,23.004,,,,,
183,9/1/18 5:10,96.463,23.004,,,,,
184,9/1/18 5:15,96.481,23.004,,,,,
185,9/1/18 5:20,96.481,23.004,,,,,
186,9/1/18 5:25,96.481,23.004,,,,,
187,9/1/18 5:30,96.481,23.004,,,,,
188,9/1/18 5:35,96.499,23.004,,,,,
189,9/1/18 5:40,96.499,23.004,,,,,
190,9/1/18 5:45,96.516,23.004,,,,,
191,9/1/18 5:50,96.516,23.004,,,,,
192,9/1/18 5:55,96.534,23.004,,,,,
193,9/1/18 6:00,96.531,22.908,,,,,
194,9/1/18 6:05,96.531,22.908,,,,,
195,9/1/18 6:10,96.531,22.908,,,,,
196,9/1/18 6:15,96.531,22.908,,,,,
197,9/1/18 6:20,96.549,22.908,,,,,
198,9/1/18 6:25,96.567,22.908,,,,,
199,9/1/18 6:30,96.564,22.812,,,,,
200,9/1/18 6:35,96.564,22.812,,,,,
201,9/1/18 6:40,96.564,22.812,,,,,
202,9/1/18 6:45,96.564,22.812,,,,,
203,9/1/18 6:50,96.582,22.812,,,,,
204,9/1/18 6:55,96.582,22.812,,,,,
205,9/1/18 7:00,96.582,22.812,,,,,
206,9/1/18 7:05,96.602,22.908,,,,,
207,9/1/18 7:10,96.602,22.908,,,,,
208,9/1/18 7:15,96.587,23.004,,,,,
209,9/1/18 7:20,96.608,23.1,,,,,
210,9/1/18 7:25,96.61,23.196,,,,,
211,9/1/18 7:30,96.61,23.196,,,,,
212,9/1/18 7:35,96.613,23.292,,,,,
213,9/1/18 7:40,96.634,23.388,,,,,
214,9/1/18 7:45,96.636,23.484,,,,,
215,9/1/18 7:50,96.639,23.581,,,,,
216,9/1/18 7:55,96.642,23.677,,,,,
217,9/1/18 8:00,96.662,23.773,,,,,
218,9/1/18 8:05,96.647,23.869,,,,,
219,9/1/18 8:10,96.65,23.966,,,,,
220,9/1/18 8:15,96.653,24.062,,,,,
221,9/1/18 8:20,96.638,24.158,,,,,
222,9/1/18 8:25,96.658,24.255,,,,,
223,9/1/18 8:30,96.658,24.255,,,,,
224,9/1/18 8:35,96.661,24.351,,,,,
225,9/1/18 8:40,96.681,24.448,,,,,
226,9/1/18 8:45,96.684,24.545,,,,,
227,9/1/18 8:50,96.684,24.545,,,,,
228,9/1/18 8:55,96.687,24.641,,,,,
229,9/1/18 9:00,96.687,24.641,,,,,
230,9/1/18 9:05,96.687,24.641,,,,,
231,9/1/18 9:10,96.687,24.641,,,,,
232,9/1/18 9:15,96.687,24.641,,,,,
233,9/1/18 9:20,96.687,24.641,,,,,
234,9/1/18 9:25,96.704,24.641,,,,,
235,9/1/18 9:30,96.687,24.641,,,,,
236,9/1/18 9:35,96.687,24.641,,,,,
237,9/1/18 9:40,96.687,24.641,,,,,
238,9/1/18 9:45,96.687,24.641,,,,,
239,9/1/18 9:50,96.704,24.641,,,,,
