"ï»¿""Plot Title: OM_WL1""",,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389415, SEN S/N: 20389415)","Temp, Â°C (LGR S/N: 20389415, SEN S/N: 20389415)",Coupler Detached (LGR S/N: 20389415),Coupler Attached (LGR S/N: 20389415),Host Connected (LGR S/N: 20389415),Stopped (LGR S/N: 20389415),End Of File (LGR S/N: 20389415)
1,8/31/18 14:00,96.578,26.195,Logged,,,,
2,8/31/18 14:05,96.568,26.39,,,,,
3,8/31/18 14:10,96.57,26.488,,,,,
4,8/31/18 14:15,96.573,26.585,,,,,
5,8/31/18 14:20,96.544,26.683,,,,,
6,8/31/18 14:25,96.534,26.879,,,,,
7,8/31/18 14:30,96.536,26.977,,,,,
8,8/31/18 14:35,96.507,27.075,,,,,
9,8/31/18 14:40,96.507,27.075,,,,,
10,8/31/18 14:45,96.494,27.173,,,,,
11,8/31/18 14:50,96.481,27.272,,,,,
12,8/31/18 14:55,96.465,27.272,,,,,
13,8/31/18 15:00,96.484,27.37,,,,,
14,8/31/18 15:05,96.452,27.37,,,,,
15,8/31/18 15:10,96.455,27.468,,,,,
16,8/31/18 15:15,96.442,27.567,,,,,
17,8/31/18 15:20,96.426,27.567,,,,,
18,8/31/18 15:25,96.413,27.665,,,,,
19,8/31/18 15:30,96.415,27.764,,,,,
20,8/31/18 15:35,96.402,27.862,,,,,
21,8/31/18 15:40,96.373,27.961,,,,,
22,8/31/18 15:45,96.376,28.06,,,,,
23,8/31/18 15:50,96.395,28.159,,,,,
24,8/31/18 15:55,96.379,28.159,,,,,
25,8/31/18 16:00,96.376,28.06,,,,,
26,8/31/18 16:05,96.373,27.961,,,,,
27,8/31/18 16:10,96.368,27.764,,,,,
28,8/31/18 16:15,96.365,27.665,,,,,
29,8/31/18 16:20,96.346,27.567,,,,,
30,8/31/18 16:25,96.344,27.468,,,,,
31,8/31/18 16:30,96.338,27.272,,,,,
32,8/31/18 16:35,96.32,27.173,,,,,
33,8/31/18 16:40,96.317,27.075,,,,,
34,8/31/18 16:45,96.314,26.977,,,,,
35,8/31/18 16:50,96.298,26.977,,,,,
36,8/31/18 16:55,96.296,26.879,,,,,
37,8/31/18 17:00,96.309,26.781,,,,,
38,8/31/18 17:05,96.29,26.683,,,,,
39,8/31/18 17:10,96.274,26.683,,,,,
40,8/31/18 17:15,96.29,26.683,,,,,
41,8/31/18 17:20,96.29,26.683,,,,,
42,8/31/18 17:25,96.274,26.683,,,,,
43,8/31/18 17:30,96.29,26.683,,,,,
44,8/31/18 17:35,96.274,26.683,,,,,
45,8/31/18 17:40,96.274,26.683,,,,,
46,8/31/18 17:45,96.274,26.683,,,,,
47,8/31/18 17:50,96.258,26.683,,,,,
48,8/31/18 17:55,96.258,26.683,,,,,
49,8/31/18 18:00,96.256,26.585,,,,,
50,8/31/18 18:05,96.24,26.585,,,,,
51,8/31/18 18:10,96.24,26.585,,,,,
52,8/31/18 18:15,96.221,26.488,,,,,
53,8/31/18 18:20,96.221,26.488,,,,,
54,8/31/18 18:25,96.203,26.39,,,,,
55,8/31/18 18:30,96.219,26.39,,,,,
56,8/31/18 18:35,96.2,26.292,,,,,
57,8/31/18 18:40,96.216,26.292,,,,,
58,8/31/18 18:45,96.213,26.195,,,,,
59,8/31/18 18:50,96.211,26.097,,,,,
60,8/31/18 18:55,96.226,26.097,,,,,
61,8/31/18 19:00,96.208,26,,,,,
62,8/31/18 19:05,96.221,25.902,,,,,
63,8/31/18 19:10,96.218,25.805,,,,,
64,8/31/18 19:15,96.218,25.805,,,,,
65,8/31/18 19:20,96.216,25.708,,,,,
66,8/31/18 19:25,96.245,25.61,,,,,
67,8/31/18 19:30,96.245,25.61,,,,,
68,8/31/18 19:35,96.226,25.513,,,,,
69,8/31/18 19:40,96.223,25.416,,,,,
70,8/31/18 19:45,96.239,25.416,,,,,
71,8/31/18 19:50,96.237,25.319,,,,,
72,8/31/18 19:55,96.253,25.319,,,,,
73,8/31/18 20:00,96.25,25.222,,,,,
74,8/31/18 20:05,96.247,25.125,,,,,
75,8/31/18 20:10,96.247,25.125,,,,,
76,8/31/18 20:15,96.26,25.028,,,,,
77,8/31/18 20:20,96.276,25.028,,,,,
78,8/31/18 20:25,96.258,24.931,,,,,
79,8/31/18 20:30,96.274,24.931,,,,,
80,8/31/18 20:35,96.271,24.835,,,,,
81,8/31/18 20:40,96.271,24.835,,,,,
82,8/31/18 20:45,96.268,24.738,,,,,
83,8/31/18 20:50,96.284,24.738,,,,,
84,8/31/18 20:55,96.266,24.641,,,,,
85,8/31/18 21:00,96.266,24.641,,,,,
86,8/31/18 21:05,96.266,24.641,,,,,
87,8/31/18 21:10,96.263,24.545,,,,,
88,8/31/18 21:15,96.263,24.545,,,,,
89,8/31/18 21:20,96.263,24.545,,,,,
90,8/31/18 21:25,96.26,24.448,,,,,
91,8/31/18 21:30,96.244,24.448,,,,,
92,8/31/18 21:35,96.258,24.351,,,,,
93,8/31/18 21:40,96.258,24.351,,,,,
94,8/31/18 21:45,96.258,24.351,,,,,
95,8/31/18 21:50,96.274,24.351,,,,,
96,8/31/18 21:55,96.271,24.255,,,,,
97,8/31/18 22:00,96.271,24.255,,,,,
98,8/31/18 22:05,96.287,24.255,,,,,
99,8/31/18 22:10,96.287,24.255,,,,,
100,8/31/18 22:15,96.287,24.255,,,,,
101,8/31/18 22:20,96.268,24.158,,,,,
102,8/31/18 22:25,96.284,24.158,,,,,
103,8/31/18 22:30,96.284,24.158,,,,,
104,8/31/18 22:35,96.3,24.158,,,,,
105,8/31/18 22:40,96.3,24.158,,,,,
106,8/31/18 22:45,96.3,24.158,,,,,
107,8/31/18 22:50,96.316,24.158,,,,,
108,8/31/18 22:55,96.316,24.158,,,,,
109,8/31/18 23:00,96.332,24.158,,,,,
110,8/31/18 23:05,96.332,24.158,,,,,
111,8/31/18 23:10,96.332,24.158,,,,,
112,8/31/18 23:15,96.332,24.158,,,,,
113,8/31/18 23:20,96.332,24.158,,,,,
114,8/31/18 23:25,96.329,24.062,,,,,
115,8/31/18 23:30,96.345,24.062,,,,,
116,8/31/18 23:35,96.345,24.062,,,,,
117,8/31/18 23:40,96.345,24.062,,,,,
118,8/31/18 23:45,96.342,23.966,,,,,
119,8/31/18 23:50,96.342,23.966,,,,,
120,8/31/18 23:55,96.358,23.966,,,,,
121,9/1/18 0:00,96.356,23.869,,,,,
122,9/1/18 0:05,96.356,23.869,,,,,
123,9/1/18 0:10,96.356,23.869,,,,,
124,9/1/18 0:15,96.356,23.869,,,,,
125,9/1/18 0:20,96.356,23.869,,,,,
126,9/1/18 0:25,96.353,23.773,,,,,
127,9/1/18 0:30,96.369,23.773,,,,,
128,9/1/18 0:35,96.369,23.773,,,,,
129,9/1/18 0:40,96.382,23.677,,,,,
130,9/1/18 0:45,96.382,23.677,,,,,
131,9/1/18 0:50,96.366,23.677,,,,,
132,9/1/18 0:55,96.35,23.677,,,,,
133,9/1/18 1:00,96.363,23.581,,,,,
134,9/1/18 1:05,96.348,23.581,,,,,
135,9/1/18 1:10,96.363,23.581,,,,,
136,9/1/18 1:15,96.348,23.581,,,,,
137,9/1/18 1:20,96.363,23.581,,,,,
138,9/1/18 1:25,96.345,23.484,,,,,
139,9/1/18 1:30,96.329,23.484,,,,,
140,9/1/18 1:35,96.345,23.484,,,,,
141,9/1/18 1:40,96.345,23.484,,,,,
142,9/1/18 1:45,96.345,23.484,,,,,
143,9/1/18 1:50,96.345,23.484,,,,,
144,9/1/18 1:55,96.342,23.388,,,,,
145,9/1/18 2:00,96.358,23.388,,,,,
146,9/1/18 2:05,96.327,23.388,,,,,
147,9/1/18 2:10,96.342,23.388,,,,,
148,9/1/18 2:15,96.342,23.388,,,,,
149,9/1/18 2:20,96.34,23.292,,,,,
150,9/1/18 2:25,96.356,23.292,,,,,
151,9/1/18 2:30,96.356,23.292,,,,,
152,9/1/18 2:35,96.356,23.292,,,,,
153,9/1/18 2:40,96.371,23.292,,,,,
154,9/1/18 2:45,96.371,23.292,,,,,
155,9/1/18 2:50,96.371,23.292,,,,,
156,9/1/18 2:55,96.356,23.292,,,,,
157,9/1/18 3:00,96.369,23.196,,,,,
158,9/1/18 3:05,96.385,23.196,,,,,
159,9/1/18 3:10,96.369,23.196,,,,,
160,9/1/18 3:15,96.369,23.196,,,,,
161,9/1/18 3:20,96.369,23.196,,,,,
162,9/1/18 3:25,96.385,23.196,,,,,
163,9/1/18 3:30,96.385,23.196,,,,,
164,9/1/18 3:35,96.401,23.196,,,,,
165,9/1/18 3:40,96.398,23.1,,,,,
166,9/1/18 3:45,96.414,23.1,,,,,
167,9/1/18 3:50,96.414,23.1,,,,,
168,9/1/18 3:55,96.398,23.1,,,,,
169,9/1/18 4:00,96.398,23.1,,,,,
170,9/1/18 4:05,96.414,23.1,,,,,
171,9/1/18 4:10,96.414,23.1,,,,,
172,9/1/18 4:15,96.43,23.1,,,,,
173,9/1/18 4:20,96.43,23.1,,,,,
174,9/1/18 4:25,96.43,23.1,,,,,
175,9/1/18 4:30,96.43,23.1,,,,,
176,9/1/18 4:35,96.43,23.1,,,,,
177,9/1/18 4:40,96.43,23.1,,,,,
178,9/1/18 4:45,96.446,23.1,,,,,
179,9/1/18 4:50,96.459,23.004,,,,,
180,9/1/18 4:55,96.443,23.004,,,,,
181,9/1/18 5:00,96.427,23.004,,,,,
182,9/1/18 5:05,96.443,23.004,,,,,
183,9/1/18 5:10,96.443,23.004,,,,,
184,9/1/18 5:15,96.443,23.004,,,,,
185,9/1/18 5:20,96.459,23.004,,,,,
186,9/1/18 5:25,96.459,23.004,,,,,
187,9/1/18 5:30,96.459,23.004,,,,,
188,9/1/18 5:35,96.459,23.004,,,,,
189,9/1/18 5:40,96.459,23.004,,,,,
190,9/1/18 5:45,96.49,23.004,,,,,
191,9/1/18 5:50,96.475,23.004,,,,,
192,9/1/18 5:55,96.49,23.004,,,,,
193,9/1/18 6:00,96.506,23.004,,,,,
194,9/1/18 6:05,96.504,22.908,,,,,
195,9/1/18 6:10,96.504,22.908,,,,,
196,9/1/18 6:15,96.52,22.908,,,,,
197,9/1/18 6:20,96.52,22.908,,,,,
198,9/1/18 6:25,96.52,22.908,,,,,
199,9/1/18 6:30,96.517,22.812,,,,,
200,9/1/18 6:35,96.533,22.812,,,,,
201,9/1/18 6:40,96.533,22.812,,,,,
202,9/1/18 6:45,96.549,22.812,,,,,
203,9/1/18 6:50,96.564,22.812,,,,,
204,9/1/18 6:55,96.564,22.812,,,,,
205,9/1/18 7:00,96.564,22.812,,,,,
206,9/1/18 7:05,96.564,22.812,,,,,
207,9/1/18 7:10,96.567,22.908,,,,,
208,9/1/18 7:15,96.57,23.004,,,,,
209,9/1/18 7:20,96.57,23.004,,,,,
210,9/1/18 7:25,96.572,23.1,,,,,
211,9/1/18 7:30,96.591,23.196,,,,,
212,9/1/18 7:35,96.593,23.292,,,,,
213,9/1/18 7:40,96.612,23.388,,,,,
214,9/1/18 7:45,96.614,23.484,,,,,
215,9/1/18 7:50,96.614,23.484,,,,,
216,9/1/18 7:55,96.617,23.581,,,,,
217,9/1/18 8:00,96.636,23.677,,,,,
218,9/1/18 8:05,96.622,23.773,,,,,
219,9/1/18 8:10,96.625,23.869,,,,,
220,9/1/18 8:15,96.612,23.966,,,,,
221,9/1/18 8:20,96.614,24.062,,,,,
222,9/1/18 8:25,96.633,24.158,,,,,
223,9/1/18 8:30,96.636,24.255,,,,,
224,9/1/18 8:35,96.638,24.351,,,,,
225,9/1/18 8:40,96.657,24.448,,,,,
226,9/1/18 8:45,96.659,24.545,,,,,
227,9/1/18 8:50,96.659,24.545,,,,,
228,9/1/18 8:55,96.644,24.545,,,,,
229,9/1/18 9:00,96.646,24.641,,,,,
230,9/1/18 9:05,96.662,24.641,,,,,
231,9/1/18 9:10,96.646,24.641,,,,,
232,9/1/18 9:15,96.646,24.641,,,,,
233,9/1/18 9:20,96.646,24.641,,,,,
234,9/1/18 9:25,96.646,24.641,,,,,
235,9/1/18 9:30,96.646,24.641,,,,,
236,9/1/18 9:35,96.662,24.641,,,,,
237,9/1/18 9:40,96.662,24.641,,,,,
238,9/1/18 9:45,96.662,24.641,,,,,
239,9/1/18 9:50,96.662,24.641,,,,,
240,9/1/18 9:55,96.678,24.641,,,,,
241,9/1/18 10:00,96.665,24.738,,,,,
242,9/1/18 10:05,96.665,24.738,,,,,
243,9/1/18 10:10,96.649,24.738,,,,,
244,9/1/18 10:15,96.649,24.738,,,,,
245,9/1/18 10:20,96.649,24.738,,,,,
246,9/1/18 10:25,96.649,24.738,,,,,
247,9/1/18 10:30,96.649,24.738,,,,,
248,9/1/18 10:35,96.649,24.738,,,,,
249,9/1/18 10:40,96.636,24.835,,,,,
250,9/1/18 10:45,96.636,24.835,,,,,
251,9/1/18 10:50,96.636,24.835,,,,,
252,9/1/18 10:55,96.62,24.835,,,,,
253,9/1/18 11:00,96.638,24.931,,,,,
254,9/1/18 11:05,96.638,24.931,,,,,
255,9/1/18 11:10,96.638,24.931,,,,,
256,9/1/18 11:15,96.625,25.028,,,,,
257,9/1/18 11:20,96.609,25.028,,,,,
258,9/1/18 11:25,96.609,25.028,,,,,
259,9/1/18 11:30,96.612,25.125,,,,,
260,9/1/18 11:35,96.596,25.125,,,,,
261,9/1/18 11:40,96.596,25.125,,,,,
262,9/1/18 11:45,96.583,25.222,,,,,
263,9/1/18 11:50,96.567,25.222,,,,,
264,9/1/18 11:55,96.567,25.222,,,,,
265,9/1/18 12:00,96.57,25.319,,,,,
266,9/1/18 12:05,96.554,25.319,,,,,
267,9/1/18 12:10,96.554,25.319,,,,,
268,9/1/18 12:15,96.541,25.416,,,,,
269,9/1/18 12:20,96.541,25.416,,,,,
270,9/1/18 12:25,96.541,25.416,,,,,
271,9/1/18 12:30,96.527,25.513,,,,,
272,9/1/18 12:35,96.527,25.513,,,,,
273,9/1/18 12:40,96.512,25.513,,,,,
274,9/1/18 12:45,96.498,25.61,,,,,
275,9/1/18 12:50,96.514,25.61,,,,,
276,9/1/18 12:55,96.501,25.708,,,,,
277,9/1/18 13:00,96.485,25.708,,,,,
278,9/1/18 13:05,96.485,25.708,,,,,
279,9/1/18 13:10,96.472,25.805,,,,,
280,9/1/18 13:15,96.456,25.805,,,,,
281,9/1/18 13:20,96.459,25.902,,,,,
282,9/1/18 13:25,96.443,25.902,,,,,
283,9/1/18 13:30,96.43,26,,,,,
284,9/1/18 13:35,96.43,26,,,,,
285,9/1/18 13:40,96.43,26,,,,,
286,9/1/18 13:45,96.417,26.097,,,,,
287,9/1/18 13:50,96.401,26.097,,,,,
288,9/1/18 13:55,96.401,26.097,,,,,
289,9/1/18 14:00,96.385,26.097,,,,,
290,9/1/18 14:05,96.388,26.195,,,,,
291,9/1/18 14:10,96.375,26.292,,,,,
292,9/1/18 14:15,96.359,26.292,,,,,
293,9/1/18 14:20,96.361,26.39,,,,,
294,9/1/18 14:25,96.348,26.488,,,,,
295,9/1/18 14:30,96.348,26.488,,,,,
296,9/1/18 14:35,96.348,26.488,,,,,
297,9/1/18 14:40,96.332,26.488,,,,,
298,9/1/18 14:45,96.316,26.488,,,,,
299,9/1/18 14:50,96.319,26.585,,,,,
300,9/1/18 14:55,96.303,26.585,,,,,
301,9/1/18 15:00,96.287,26.585,,,,,
302,9/1/18 15:05,96.29,26.683,,,,,
303,9/1/18 15:10,96.29,26.683,,,,,
304,9/1/18 15:15,96.293,26.781,,,,,
305,9/1/18 15:20,96.28,26.879,,,,,
306,9/1/18 15:25,96.264,26.879,,,,,
307,9/1/18 15:30,96.264,26.879,,,,,
308,9/1/18 15:35,96.248,26.879,,,,,
309,9/1/18 15:40,96.232,26.879,,,,,
310,9/1/18 15:45,96.214,26.781,,,,,
311,9/1/18 15:50,96.232,26.879,,,,,
312,9/1/18 15:55,96.2,26.879,,,,,
313,9/1/18 16:00,96.216,26.879,,,,,
314,9/1/18 16:05,96.216,26.879,,,,,
315,9/1/18 16:10,96.232,26.879,,,,,
316,9/1/18 16:15,96.198,26.781,,,,,
317,9/1/18 16:20,96.214,26.781,,,,,
318,9/1/18 16:25,96.198,26.781,,,,,
319,9/1/18 16:30,96.198,26.781,,,,,
320,9/1/18 16:35,96.214,26.781,,,,,
321,9/1/18 16:40,96.179,26.683,,,,,
322,9/1/18 16:45,96.195,26.683,,,,,
323,9/1/18 16:50,96.179,26.683,,,,,
324,9/1/18 16:55,96.176,26.585,,,,,
325,9/1/18 17:00,96.176,26.585,,,,,
326,9/1/18 17:05,96.192,26.585,,,,,
327,9/1/18 17:10,96.161,26.585,,,,,
328,9/1/18 17:15,96.176,26.585,,,,,
329,9/1/18 17:20,96.161,26.585,,,,,
330,9/1/18 17:25,96.174,26.488,,,,,
331,9/1/18 17:30,96.174,26.488,,,,,
332,9/1/18 17:35,96.174,26.488,,,,,
333,9/1/18 17:40,96.174,26.488,,,,,
334,9/1/18 17:45,96.174,26.488,,,,,
335,9/1/18 17:50,96.176,26.585,,,,,
336,9/1/18 17:55,96.176,26.585,,,,,
337,9/1/18 18:00,96.161,26.585,,,,,
338,9/1/18 18:05,96.161,26.585,,,,,
339,9/1/18 18:10,96.161,26.585,,,,,
340,9/1/18 18:15,96.176,26.585,,,,,
341,9/1/18 18:20,96.174,26.488,,,,,
342,9/1/18 18:25,96.158,26.488,,,,,
343,9/1/18 18:30,96.174,26.488,,,,,
344,9/1/18 18:35,96.158,26.488,,,,,
345,9/1/18 18:40,96.187,26.39,,,,,
